synId_prodId,percYes
n03125057::B00BZ4OX0S,1
n03624134::B0008FUQ2E,1
n04574999::B0082BULX0,1
n03450230::B00ILYI234,0.75
n03063968::B004RHKXIQ,1
n02678897::B0080SE6H2,1
n03761084::B00EB8KRIW,1
n02976249::B004WDUSZS,1
n02769748::B00LBW8W0Q,1
n03272940::B00N30AQ12,1
n03978966::B00LO1S0N8,0.75
n02692513::B0009PURX6,1
n03418242::B0007WFG2I,1
n03075097::B007OT1XWE,1
n03958227::B009LIOMPQ,0.666666666666667
n03273913::B0001MQ7E0,1
n04392764::B00B870HSE,1
n03201208::B000MJ3LGY,1
n04009801::B00PNGM8UQ,1
n03114236::B001E510MM,1
n03291741::B00DCW13PE,0.75
n03114504::B0073WJACW,1
n03456299::B00004RA7R,1
n02889646::B005FL5XPQ,1
n04176190::B009GKNVTW,0.666666666666667
n03939062::B000BQS52I,1
n04153025::B0017WOG9Q,1
n04315948::B0015VAX6O,1
n03588951::B00BMPFI6I,0.75
n03886762::B001B0D5T6,1
n03701191::B004XMY5CK,1
n03543112::B00LG6DAI6,1
n02889425::B00CJ5DZE2,0.666666666666667
n03490884::B00J3GFETE,1
n03482252::B00HZCZ4AC,1
n03459591::B00004TBJ4,0.75
n02955767::B0077GSZLG,0.666666666666667
n02949202::B009OEAYL8,1
n04608567::B001G5Z62U,1
n03026506::B002TIYXMW,1
n04333129::B0002D0E92,1
n03196324::B00I2K45X8,1
n02888569::B0000DI84Z,1
n03848348::B007P2LAAU,0.75
n04331277::B0058TVZKM,1
n04127633::B008835NQC,1
n03589672::B00042KG3A,1
n03233905::B002RP0S5I,0.75
n03269401::B00002NAQQ,0.666666666666667
n03429288::B00404WDUC,1
n03537085::B006IV6CAW,1
n03367059::B005IKJ3EQ,1
n03819595::B001449I2M,1
n03238586::B001E8JE54,1
n03026506::B0061WHXAG,1
n03467796::B00NQ9519M,0.666666666666667
n04569822::B00B213DNW,1
n02799323::B000KUMKOY,1
n04057981::B0055IVM1I,1
n04303258::B001PMCCL2,1
n02957755::B000PBX3GC,0.666666666666667
n04188179::B002LHP90G,1
n03819994::B0002AQH2I,1
n04402580::B007TSRFX6,1
n04217546::B00N4PPOFY,1
n03075370::B00004SQLJ,1
n02772101::B003Y24DEU,1
n04009801::B00G94Q05A,1
n03775546::B004NG9FFI,1
n03861048::B00A9Z1UBO,1
n03987376::B00MAJHW78,0.666666666666667
n03938244::B000V9VWE8,1
n04398688::B00MQF29D8,1
n02769748::B00JAEH4XS,1
n03643253::B00KBLGA8O,1
n03468821::B00384755S,1
n04589434::B004E3ELBI,1
n03110669::B0050F3YQM,1
n04370048::B00M0F23LC,1
n03277459::B0051WA31S,1
n04057981::B000R7LOX8,1
